Date,County,cum_hosp
2020-03-17,Fairfield,NA
2020-03-17,Hartford,NA
2020-03-17,Litchfield,NA
2020-03-17,New Haven,NA
2020-03-17,New London,NA
2020-03-17,Tolland,NA
2020-03-17,Windham,NA
2020-03-18,Fairfield,NA
2020-03-18,Hartford,NA
2020-03-18,Litchfield,NA
2020-03-18,Middlesex,NA
2020-03-18,New Haven,NA
2020-03-18,New London,NA
2020-03-18,Tolland,NA
2020-03-18,Windham,NA
2020-03-19,Fairfield,NA
2020-03-19,Hartford,NA
2020-03-19,Litchfield,NA
2020-03-19,Middlesex,NA
2020-03-19,New Haven,NA
2020-03-19,New London,NA
2020-03-19,Tolland,NA
2020-03-19,Windham,NA
2020-03-20,Fairfield,NA
2020-03-20,Hartford,NA
2020-03-20,Litchfield,NA
2020-03-20,Middlesex,NA
2020-03-20,New Haven,NA
2020-03-20,New London,NA
2020-03-20,Tolland,NA
2020-03-20,Windham,NA
2020-03-21,Fairfield,NA
2020-03-21,Hartford,NA
2020-03-21,Litchfield,NA
2020-03-21,Middlesex,NA
2020-03-21,New Haven,NA
2020-03-21,New London,NA
2020-03-21,Tolland,NA
2020-03-21,Windham,NA
2020-03-22,Fairfield,NA
2020-03-22,Hartford,NA
2020-03-22,Litchfield,NA
2020-03-22,Middlesex,NA
2020-03-22,New Haven,NA
2020-03-22,New London,NA
2020-03-22,Tolland,NA
2020-03-22,Windham,NA
2020-03-23,Fairfield,NA
2020-03-23,Hartford,NA
2020-03-23,Litchfield,NA
2020-03-23,Middlesex,NA
2020-03-23,New Haven,NA
2020-03-23,New London,NA
2020-03-23,Tolland,NA
2020-03-23,Windham,NA
2020-03-24,Fairfield,NA
2020-03-24,Hartford,NA
2020-03-24,Litchfield,NA
2020-03-24,Middlesex,NA
2020-03-24,New Haven,NA
2020-03-24,New London,NA
2020-03-24,Tolland,NA
2020-03-24,Windham,NA
2020-03-25,Fairfield,NA
2020-03-25,Hartford,NA
2020-03-25,Litchfield,NA
2020-03-25,Middlesex,NA
2020-03-25,New Haven,NA
2020-03-25,New London,NA
2020-03-25,Tolland,NA
2020-03-25,Windham,NA
2020-03-26,Fairfield,NA
2020-03-26,Hartford,NA
2020-03-26,Litchfield,NA
2020-03-26,Middlesex,NA
2020-03-26,New Haven,NA
2020-03-26,New London,NA
2020-03-26,Tolland,NA
2020-03-26,Windham,NA
2020-03-27,Fairfield,NA
2020-03-27,Hartford,NA
2020-03-27,Litchfield,NA
2020-03-27,Middlesex,NA
2020-03-27,New Haven,NA
2020-03-27,New London,NA
2020-03-27,Tolland,NA
2020-03-27,Windham,NA
2020-03-28,Fairfield,NA
2020-03-28,Hartford,NA
2020-03-28,Litchfield,NA
2020-03-28,Middlesex,NA
2020-03-28,New Haven,NA
2020-03-28,New London,NA
2020-03-28,Tolland,NA
2020-03-28,Windham,NA
2020-03-29,Fairfield,NA
2020-03-29,Hartford,NA
2020-03-29,Litchfield,NA
2020-03-29,Middlesex,NA
2020-03-29,New Haven,NA
2020-03-29,New London,NA
2020-03-29,Tolland,NA
2020-03-29,Windham,NA
2020-03-30,Fairfield,NA
2020-03-30,Hartford,NA
2020-03-30,Litchfield,NA
2020-03-30,Middlesex,NA
2020-03-30,New Haven,NA
2020-03-30,New London,NA
2020-03-30,Tolland,NA
2020-03-30,Windham,NA
2020-03-31,Fairfield,NA
2020-03-31,Hartford,NA
2020-03-31,Litchfield,NA
2020-03-31,Middlesex,NA
2020-03-31,New Haven,NA
2020-03-31,New London,NA
2020-03-31,Tolland,NA
2020-03-31,Windham,NA
2020-04-01,Fairfield,NA
2020-04-01,Hartford,NA
2020-04-01,Litchfield,NA
2020-04-01,Middlesex,NA
2020-04-01,New Haven,NA
2020-04-01,New London,NA
2020-04-01,Tolland,NA
2020-04-01,Windham,NA
2020-04-02,Fairfield,NA
2020-04-02,Hartford,NA
2020-04-02,Litchfield,NA
2020-04-02,Middlesex,NA
2020-04-02,New Haven,NA
2020-04-02,New London,NA
2020-04-02,Tolland,NA
2020-04-02,Windham,NA
2020-04-03,Fairfield,NA
