"time","date","alos","lag.alos","smooth.alos"
0,2020-03-01,7.7,7.7,7.73908588256236
1,2020-03-02,7.7,7.7,7.73364705909903
2,2020-03-03,7.7,7.7,7.72655258552098
3,2020-03-04,7.7,7.7,7.71802751788647
4,2020-03-05,7.7,7.7,7.70829691225376
5,2020-03-06,7.7,7.7,7.69758582468113
6,2020-03-07,7.7,7.7,7.68611931122685
7,2020-03-08,7.7,7.7,7.67412242794918
8,2020-03-09,7.7,7.7,7.6618202309064
9,2020-03-10,7.7,7.7,7.64943777615676
10,2020-03-11,7.7,7.7,7.63720011975856
11,2020-03-12,7.7,7.7,7.62533231777004
12,2020-03-13,7.7,7.7,7.61405942624948
13,2020-03-14,7.7,7.7,7.60360650125516
14,2020-03-15,7.7,7.7,7.59419859884533
15,2020-03-16,7.7,7.7,7.58606077507827
16,2020-03-17,7.7,7.7,7.57941808601225
17,2020-03-18,7.7,7.7,7.57449558770554
18,2020-03-19,7.7,7.7,7.5715183362164
19,2020-03-20,7.7,7.7,7.5707113876031
20,2020-03-21,7.7,7.7,7.57229979792393
21,2020-03-22,7.7,7.7,7.57650862323713
22,2020-03-23,7.7,7.7,7.58356291960099
23,2020-03-24,7.7,7.7,7.59368774307376
24,2020-03-25,7.7,7.7,7.60710814971373
25,2020-03-26,7.7,7.7,7.62404919557916
26,2020-03-27,7.7,7.7,7.64473593672832
27,2020-03-28,7.7,7.7,7.66939342921948
28,2020-03-29,7.7,7.7,7.6982467291109
29,2020-03-30,7.7,7.7,7.73152089246086
30,2020-03-31,7.7,7.7,7.76944097532763
31,2020-04-01,7.7,7.7,7.81223203376947
32,2020-04-02,7.7,7.7,7.86011912384466
33,2020-04-03,7.7,7.7,7.91326662320808
34,2020-04-04,7.7,7.7,7.97159619590109
35,2020-04-05,7.7,7.7,8.03496882756169
36,2020-04-06,7.7,7.7,8.10324550382784
37,2020-04-07,7.7,7.7,8.17628721033754
38,2020-04-08,7.7,7.7,8.25395493272877
39,2020-04-09,7.7,7.7,8.33610965663951
40,2020-04-10,7.7,7.7,8.42261236770774
41,2020-04-11,7.7,7.7,8.51332405157144
42,2020-04-12,7.7,7.7,8.60810569386861
43,2020-04-13,7.7,7.7,8.70681828023721
44,2020-04-14,7.7,7.7,8.80932279631524
45,2020-04-15,7.7,7.7,8.91548022774068
46,2020-04-16,7.7,7.7,9.0251515601515
47,2020-04-17,7.7,11,9.1381977791857
48,2020-04-18,7.7,11,9.25447987048126
49,2020-04-19,7.7,11,9.37385881967615
50,2020-04-20,7.7,11,9.49619561240836
51,2020-04-21,7.7,11,9.62135123431588
52,2020-04-22,7.7,11,9.74918667103668
53,2020-04-23,7.7,11,9.87956290820875
54,2020-04-24,7.7,11,10.0123409314701
55,2020-04-25,7.7,11,10.1473817264586
56,2020-04-26,7.7,11,10.2845462788124
57,2020-04-27,7.7,11,10.4236955741694
58,2020-04-28,7.7,11,10.5646905981675
59,2020-04-29,7.7,11,10.7073923364449
60,2020-04-30,7.7,11,10.8516617746393
61,2020-05-01,11,11,10.9973598983889
62,2020-05-02,11,11,11.1443476933317
63,2020-05-03,11,11,11.2924861451055
64,2020-05-04,11,11,11.4416362393484
65,2020-05-05,11,11,11.5916589616983
66,2020-05-06,11,11,11.742384589649
67,2020-05-07,11,11,11.8935205681169
68,2020-05-08,11,11,12.0447436338741
69,2020-05-09,11,11,12.1957305236927
70,2020-05-10,11,11,12.3461579743449
71,2020-05-11,11,11,12.4957027226028
72,2020-05-12,11,11,12.6440415052386
73,2020-05-13,11,11,12.7908510590243
74,2020-05-14,11,11,12.9358081207322
75,2020-05-15,11,11,13.0785894271343
76,2020-05-16,11,11,13.2188717150028
77,2020-05-17,11,11,13.3563317211098
78,2020-05-18,11,15.4,13.4906461822274
79,2020-05-19,11,15.4,13.6214918351278
80,2020-05-20,11,15.4,13.7485454165831
81,2020-05-21,11,15.4,13.8714836633655
82,2020-05-22,11,15.4,13.989983312247
83,2020-05-23,11,15.4,14.1037210999999
84,2020-05-24,11,15.4,14.2123737633961
85,2020-05-25,11,15.4,14.315618039208
86,2020-05-26,11,15.4,14.4131306642076
