"date","cur_hosp","hosp_death","cum_hosp"
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,1
2020-03-13,3,0,3
2020-03-14,5,0,5
2020-03-15,7,0,7
2020-03-16,10,0,10
2020-03-17,14,1,18
2020-03-18,34,3,46
2020-03-19,59,4,75
2020-03-20,72,6,98
2020-03-21,96,9,135
2020-03-22,114,14,177
2020-03-23,141,18,223
2020-03-24,157,22,257
2020-03-25,232,29,363
2020-03-26,308,33,454
2020-03-27,404,38,568
2020-03-28,517,48,725
2020-03-29,608,56,850
2020-03-30,758,74,1080
2020-03-31,827,90,1226
2020-04-01,909,106,1383
2020-04-02,1033,127,1605
2020-04-03,1142,145,1798
2020-04-04,1221,174,2019
2020-04-05,1308,199,2227
2020-04-06,1308,225,2359
2020-04-07,1463,269,2574
2020-04-08,1464,312,2768
2020-04-09,1562,356,2983
2020-04-10,1593,390,3219
2020-04-11,1654,438,3457
2020-04-12,1760,488,3687
2020-04-13,1779,533,3795
2020-04-14,1908,591,4115
2020-04-15,1926,640,4248
2020-04-16,1946,687,4510
2020-04-17,1938,732,4743
2020-04-18,1901,791,4919
2020-04-19,1919,838,5087
2020-04-20,1949,881,5234
2020-04-21,1972,926,5458
2020-04-22,1947,971,5646
2020-04-23,1877,1018,5821
2020-04-24,1810,1061,5973
2020-04-25,1766,1093,6118
2020-04-26,1758,1136,6239
2020-04-27,1732,1175,6405
2020-04-28,1691,1217,6575
2020-04-29,1650,1255,6748
2020-04-30,1592,1298,6919
2020-05-01,1551,1329,7059
2020-05-02,1488,1376,7199
2020-05-03,1464,1415,7306
2020-05-04,1500,1448,7458
2020-05-05,1445,1481,7586
2020-05-06,1385,1513,7720
2020-05-07,1336,1552,7858
2020-05-08,1302,1575,7981
2020-05-09,1242,1605,8097
2020-05-10,1212,1633,8169
2020-05-11,1189,1657,8251
2020-05-12,1158,1688,8346
2020-05-13,1103,1707,8429
2020-05-14,1033,1724,8505
2020-05-15,994,1748,8601
2020-05-16,937,1770,8697
2020-05-17,920,1791,8775
2020-05-18,914,1813,8848
2020-05-19,887,1837,8949
2020-05-20,816,1861,9006
2020-05-21,740,1880,9054
2020-05-22,724,1895,9136
2020-05-23,701,1910,9200
2020-05-24,706,1931,9270
2020-05-25,694,1940,9306
2020-05-26,684,1957,9355
2020-05-27,648,1969,9408
2020-05-28,577,1983,9468
2020-05-29,533,2000,9508
2020-05-30,481,2007,9543
2020-05-31,454,2016,9559
2020-06-01,434,2023,9586
2020-06-02,406,2032,9624
2020-06-03,373,2040,9669
2020-06-04,350,2046,9695
2020-06-05,333,2052,9744
2020-06-06,333,2056,9805
2020-06-07,324,2061,9822
2020-06-08,293,2069,9846
2020-06-09,270,2076,9882
2020-06-10,246,2081,9912
2020-06-11,244,2084,9958
2020-06-12,233,2087,9985
2020-06-13,205,2092,9999
2020-06-14,203,2094,10020
2020-06-15,201,2100,10056
2020-06-16,186,2106,10071
2020-06-17,176,2108,10099
2020-06-18,172,2110,10142
2020-06-19,150,2112,10159
2020-06-20,149,2113,10186
2020-06-21,140,2115,10201
2020-06-22,138,2119,10216
2020-06-23,124,2123,10231
2020-06-24,122,2125,10268
2020-06-25,127,2126,10298
2020-06-26,106,2128,10308
2020-06-27,103,2131,10338
2020-06-28,99,2132,10357
2020-06-29,98,2133,10373
2020-06-30,100,2134,10390
2020-07-01,101,2136,10411
2020-07-02,95,2137,10440
2020-07-03,86,2138,10462
2020-07-04,81,2139,10473
2020-07-05,69,2140,10480
2020-07-06,83,2144,10503
2020-07-07,88,2145,10530
2020-07-08,90,2146,10552
2020-07-09,77,2149,10558
2020-07-10,68,2151,10574
2020-07-11,69,2151,10588
2020-07-12,74,2155,10607
2020-07-13,66,2156,10615
2020-07-14,67,2156,10639
2020-07-15,66,2157,10654
2020-07-16,66,2157,10658
2020-07-17,60,2157,10662
2020-07-18,57,2158,10665
2020-07-19,54,2159,10670
2020-07-20,62,2159,10674
2020-07-21,63,2159,10691
2020-07-22,72,2159,10712
2020-07-23,71,2159,10726
2020-07-24,66,2159,10742
2020-07-25,71,2160,10764
2020-07-26,59,2161,10766
2020-07-27,54,2161,10774
2020-07-28,53,2161,10786
2020-07-29,66,2161,10807
2020-07-30,69,2163,10829
2020-07-31,72,2163,10847
2020-08-01,61,2164,10856
2020-08-02,56,2165,10862
2020-08-03,60,2165,10880
2020-08-04,59,2165,10896
2020-08-05,66,2166,10920
2020-08-06,65,2166,10939
2020-08-07,59,2166,10950
2020-08-08,64,2168,10969
2020-08-09,64,2169,10977
2020-08-10,70,2169,10993
2020-08-11,58,2171,10999
2020-08-12,63,2172,11015
2020-08-13,56,2172,11023
2020-08-14,47,2172,11029
2020-08-15,47,2172,11046
2020-08-16,42,2172,11053
2020-08-17,47,2172,11065
2020-08-18,49,2172,11079
2020-08-19,47,2174,11087
2020-08-20,54,2174,11106
2020-08-21,63,2174,11126
2020-08-22,49,2174,11132
2020-08-23,57,2175,11147
2020-08-24,59,2175,11155
2020-08-25,57,2175,11168
2020-08-26,56,2175,11180
2020-08-27,60,2175,11201
2020-08-28,51,2175,11212
2020-08-29,51,2175,11219
2020-08-30,52,2176,11226
2020-08-31,56,2177,11238
2020-09-01,65,2177,11266
2020-09-02,65,2178,11275
2020-09-03,58,2179,11284
2020-09-04,53,2180,11295
2020-09-05,64,2180,11317
2020-09-06,52,2180,11320
2020-09-07,50,2180,11328
2020-09-08,57,2180,11347
2020-09-09,52,2181,11357
2020-09-10,51,2181,11366
2020-09-11,59,2182,11387
2020-09-12,63,2183,11401
2020-09-13,64,2184,11406
2020-09-14,71,2184,11419
2020-09-15,70,2185,11431
2020-09-16,75,2187,11447
2020-09-17,77,2189,11471
2020-09-18,76,2189,11489
2020-09-19,78,2192,11512
2020-09-20,68,2193,11519
2020-09-21,70,2193,11534
2020-09-22,73,2193,11551
2020-09-23,72,2194,11560
2020-09-24,76,2194,11580
2020-09-25,74,2195,11594
2020-09-26,66,2195,11606
2020-09-27,75,2197,11624
2020-09-28,92,2199,11646
2020-09-29,104,2201,11672
2020-09-30,107,2203,11699
2020-10-01,110,2203,11718
2020-10-02,118,2204,11742
2020-10-03,124,2205,11767
2020-10-04,129,2208,11789
2020-10-05,129,2210,11801
2020-10-06,138,2212,11835
2020-10-07,128,2213,11845
2020-10-08,134,2213,11870
2020-10-09,138,2214,11891
2020-10-10,144,2216,11922
2020-10-11,155,2216,11947
2020-10-12,172,2218,11978
2020-10-13,188,2219,12020
2020-10-14,191,2223,12043
2020-10-15,184,2228,12065
2020-10-16,185,2232,12101
2020-10-17,185,2233,12135
2020-10-18,195,2237,12164
2020-10-19,217,2238,12194
2020-10-20,213,2238,12211
2020-10-21,232,2241,12257
2020-10-22,233,2245,12292
2020-10-23,234,2246,12326
2020-10-24,249,2246,12379
2020-10-25,270,2253,12414
2020-10-26,292,2259,12460
2020-10-27,309,2261,12516
2020-10-28,321,2263,12578
2020-10-29,329,2267,12625
2020-10-30,338,2268,12681
2020-10-31,324,2275,12714
2020-11-01,340,2278,12762
2020-11-02,381,2284,12857
2020-11-03,374,2291,12900
2020-11-04,380,2297,12968
2020-11-05,402,2298,13045
2020-11-06,426,2306,13121
2020-11-07,450,2310,13207
2020-11-08,496,2319,13286
2020-11-09,548,2323,13382
2020-11-10,584,2329,13502
2020-11-11,617,2335,13632
2020-11-12,659,2343,13759
2020-11-13,688,2349,13856
2020-11-14,718,2358,14001
2020-11-15,757,2361,14093
2020-11-16,777,2370,14185
2020-11-17,816,2383,14337
2020-11-18,840,2395,14470
2020-11-19,848,2407,14614
2020-11-20,849,2421,14755
2020-11-21,852,2431,14866
2020-11-22,875,2435,14969
2020-11-23,891,2450,15076
2020-11-24,968,2462,15297
2020-11-25,1011,2479,15532
