Date,County,Capacity
2020-03-17,Fairfield,1401
2020-03-17,Hartford,322
2020-03-17,Litchfield,52
2020-03-17,New Haven,1826
2020-03-17,New London,260
2020-03-17,Tolland,50
2020-03-17,Windham,54
2020-03-18,Fairfield,1668
2020-03-18,Hartford,2120
2020-03-18,Litchfield,139
2020-03-18,Middlesex,212
2020-03-18,New Haven,2185
2020-03-18,New London,467
2020-03-18,Tolland,102
2020-03-18,Windham,76
2020-03-19,Fairfield,1668
2020-03-19,Hartford,2149
2020-03-19,Litchfield,139
2020-03-19,Middlesex,212
2020-03-19,New Haven,2179
2020-03-19,New London,467
2020-03-19,Tolland,102
2020-03-19,Windham,130
2020-03-20,Fairfield,1673
2020-03-20,Hartford,2147
2020-03-20,Litchfield,139
2020-03-20,Middlesex,212
2020-03-20,New Haven,1965
2020-03-20,New London,467
2020-03-20,Tolland,102
2020-03-20,Windham,130
2020-03-21,Fairfield,1683
2020-03-21,Hartford,2054
2020-03-21,Litchfield,139
2020-03-21,Middlesex,212
2020-03-21,New Haven,1965
2020-03-21,New London,467
2020-03-21,Tolland,107
2020-03-21,Windham,130
2020-03-22,Fairfield,1683
2020-03-22,Hartford,2150
2020-03-22,Litchfield,139
2020-03-22,Middlesex,212
2020-03-22,New Haven,2147
2020-03-22,New London,467
2020-03-22,Tolland,108
2020-03-22,Windham,130
2020-03-23,Fairfield,1716
2020-03-23,Hartford,2150
2020-03-23,Litchfield,139
2020-03-23,Middlesex,212
2020-03-23,New Haven,2144
2020-03-23,New London,467
2020-03-23,Tolland,110
2020-03-23,Windham,130
2020-03-24,Fairfield,1763
2020-03-24,Hartford,1980
2020-03-24,Litchfield,136
2020-03-24,Middlesex,160
2020-03-24,New Haven,2159
2020-03-24,New London,443
2020-03-24,Tolland,110
2020-03-24,Windham,92
2020-03-25,Fairfield,1763
2020-03-25,Hartford,1969
2020-03-25,Litchfield,136
2020-03-25,Middlesex,160
2020-03-25,New Haven,2138
2020-03-25,New London,443
2020-03-25,Tolland,87
2020-03-25,Windham,92
2020-03-26,Fairfield,1763
