time,date,deaths,cur_hosp,dobs_wt,hobs_wt
7,3/8/20,0,0,0,0
8,3/9/20,0,0,0,0
9,3/10/20,0,0,0,0
10,3/11/20,0,0,0,0
11,3/12/20,0,1,0,0.000746029
12,3/13/20,0,3,0,0.001006771
13,3/14/20,0,5,0,0.00135852
14,3/15/20,0,7,0,0.001832939
15,3/16/20,0,10,0,0.002472623
16,3/17/20,0,14,0,0.003334807
17,3/18/20,1,34,0.004496273,0.004496273
18,3/19/20,4,59,0.006059801,0.006059801
19,3/20/20,4,72,0.008162571,0.008162571
20,3/21/20,5,96,0.010986943,0.010986943
21,3/22/20,8,114,0.014774032,0.014774032
22,3/23/20,10,141,0.019840306,0.019840306
23,3/24/20,12,157,0.026596994,0.026596994
24,3/25/20,19,232,0.035571189,0.035571189
25,3/26/20,21,308,0.047425873,0.047425873
26,3/27/20,27,404,0.062973356,0.062973356
27,3/28/20,33,517,0.083172696,0.083172696
28,3/29/20,34,608,0.109096821,0.109096821
29,3/30/20,36,766,0.141851065,0.141851065
30,3/31/20,69,827,0.182425524,0.182425524
31,4/1/20,85,909,0.231475217,0.231475217
32,4/2/20,112,1033,0.289050497,0.289050497
33,4/3/20,132,1142,0.354343694,0.354343694
34,4/4/20,165,1221,0.425557483,0.425557483
35,4/5/20,189,1308,0.5,0.5
36,4/6/20,206,1418,0.574442517,0.574442517
37,4/7/20,277,1463,0.645656306,0.645656306
38,4/8/20,336,1512,0.710949503,0.710949503
39,4/9/20,380,1562,0.768524783,0.768524783
40,4/10/20,448,1593,0.817574476,0.817574476
41,4/11/20,494,1654,0.858148935,0.858148935
42,4/12/20,554,1760,0.890903179,0.890903179
43,4/13/20,602,1779,0.916827304,0.916827304
44,4/14/20,671,1908,0.937026644,0.937026644
45,4/15/20,868,1926,0.952574127,0.952574127
46,4/16/20,971,1946,0.964428811,0.964428811
47,4/17/20,1036,1938,0.973403006,0.973403006
48,4/18/20,1086,1901,0.980159694,0.980159694
49,4/19/20,1127,1919,0.985225968,0.985225968
50,4/20/20,1331,1949,0.989013057,0.989013057
51,4/21/20,1423,1972,0.991837429,0.991837429
52,4/22/20,1544,1947,0.993940199,0.993940199
53,4/23/20,1639,1877,0.995503727,0.995503727
54,4/24/20,1764,1810,0.996665193,0.996665193
55,4/25/20,1862,1766,0.997527377,0.997527377
56,4/26/20,1925,1758,0.998167061,0.998167061
57,4/27/20,2019,1732,0.99864148,0.99864148
58,4/28/20,2089,1691,0.998993229,0.998993229
59,4/29/20,2168,1650,0.999253971,0.999253971
60,4/30/20,2257,1592,0.999447221,0.999447221
61,5/1/20,2339,1551,0.999590433,0.999590433
62,5/2/20,2436,1488,0.999696553,0.999696553
63,5/3/20,2495,1464,0.999775183,0.999775183
64,5/4/20,2556,1500,0.999833442,0.999833442
65,5/5/20,2633,1445,0.999876605,0.999876605
66,5/6/20,2718,1385,0.999908584,0.999908584
67,5/7/20,2797,1336,0.999932276,0.999932276
68,5/8/20,2874,1302,0.999949828,0.999949828
69,5/9/20,2932,1242,0.999962831,0.999962831
70,5/10/20,2967,1212,0.999972464,0.999972464
71,5/11/20,3008,1189,0.999979601,0.999979601
72,5/12/20,3041,1158,0.999984888,0.999984888
73,5/13/20,3125,1103,0.999988805,0.999988805
74,5/14/20,3219,1033,0.999991706,0.999991706
75,5/15/20,3285,994,0.999993856,0.999993856
76,5/16/20,3339,937,0.999995448,0.999995448
77,5/17/20,3408,920,0.999996628,0.999996628
78,5/18/20,3449,914,0.999997502,0.999997502
79,5/19/20,3472,887,0.999998149,0.999998149
80,5/20/20,3529,816,0.999998629,0.999998629
